timestamp;m3
201502;4259.9
201503;4542.45
201504;4539.85
201505;4366.8
201506;4662.5
201507;5508.55
201508;4807.8
201509;4897.2
201510;6176.7
201511;4570.8
201512;4655.9
201601;3484.82
201602;3007.35
201603;2439.1
201604;2468.7
201605;2602.7
201606;2866.4
201607;3215.3
201608;2917.5
201609;2344.72
201610;1976.0
201611;1678.2
201612;1665.53
201701;1447.03
201702;1282.038
201703;1262.371
201704;923.78
201705;1169.18
201706;831.95
201707;1255.38
201708;1487.31
201709;1622.624
201710;1480.81
201711;1849.779
201712;2278.387
201801;2225.256
201802;1818.095
201803;1909.364
201804;1652.918
201805;1645.272
201806;2801.39
201807;3221.74
201808;3468.62
201809;3936.069
201810;4833.109
201811;3807.461
201812;2802.419
201901;2837.55
201902;2273.69
201903;2266.307
201904;2286.15
201905;2421.92
201906;2392.32
201907;2954.91
201908;2614.92
201909;2453.35
201910;2877.89
201911;3440.09
201912;4396.3
202001;3517.751
202002;2846.79
202003;2489.49
202004;1824.22
202005;1856.2
202006;3128.93
202007;3434.86
202008;3286.53
202009;3831.1
202010;4073.66
202011;3487.83
202012;4449.56
202101;4042.29
202102;4082.43
202103;3953.26
202104;2916.03
202105;2455.7
202106;1634.3
202107;1848.5
202108;1930.3
202109;1956.3
202110;1938.898
202111;2267.6
202112;2347.1
202201;1878.7
202202;1746.901
202203;3161.3
202204;2858.6
202205;2267.1
202206;2555.2
202207;2576.3
202208;1853.1
202209;1574.3
202210;1768.1
202211;2145.5
202212;2430.2
202301;2042.4
202302;1733.1
202303;2409.2
202304;1890.3
202305;2018.7
202306;2045.1
202307;2540.954
202308;2873.4
202309;3047.6
202310;3137.7
202311;3405.3
202312;4186.236
202401;4512.728
202402;4839.92
