timestamp,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41
199411,0.8654174084286881,12.0,-11.342088607541308,0.4399838384454779,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.9416784823694678e-68,1.188481882339883e-16,-1.4823120147979895e-18,-0.23042270971034762,0.36684049487675396,1.0,2.0,12.0,0.0,0.2245210845982221,0.1553543452205612,0.0,0.150639836889742,0.0,1.4901161193847656e-08,2.950507433745378e-10,0.0,0.0,0.0,0.0,1.0,0.8050886606199975,5.0,0.0,-0.04611121245498015,0.18331178992859617,-0.16787511876768033,0.31629237123887327,-0.15691887477942845,0.27310691736688303,0.0
199412,0.7987341553895071,12.0,-12.83259424059057,0.34084129757091136,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5.463163635652878e-68,7.023692347393871e-17,1.0666823711242205e-17,-0.15207385017575317,0.3499467880241221,1.0,1.0,11.0,0.0,0.526690986413036,0.33376990384187555,0.0,0.10987205527597393,0.0,1.490149017859783e-08,2.94640562499608e-10,0.0,0.0,0.0,0.0,1.0,0.8184236771762831,6.0,0.0,-0.2627592525563602,0.26455720999275156,-0.4908909557872559,0.45304735309973526,-0.3889632879742497,0.34780010633193803,0.0
199501,0.7240783803455455,12.0,-11.323929362445684,0.15783377906763707,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.2735851913977126e-68,2.5074841825571166e-16,-9.634799088006801e-18,-0.41897055858484716,0.45188358911741217,1.0,12.0,10.0,0.0,0.47550032686384713,1.4019570099407064,0.0,0.32796316907632145,0.0,1.4901161193847656e-08,6.542466116383005e-09,0.0,0.0,0.0,0.0,2.0,0.8152698225326221,6.0,0.0,-0.23130143716110985,0.273508048523976,-0.46361854950101583,0.39793849278078586,-0.6140186816317275,0.5983291688209449,0.0
199502,0.6567452264728648,12.0,-11.093489172121963,0.16119206317861232,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.1211946348543735e-67,-1.5276608554654718e-17,8.381328296229062e-18,-0.04022499277247873,0.2520447208291405,1.0,11.0,9.0,0.0,0.688784096969816,0.8868098074462744,0.0,0.3999241826845073,0.0,1.4901161193847656e-08,2.918717698822906e-10,0.0,0.0,0.0,0.0,2.0,0.8279509922132123,5.0,0.0,-0.17618394441011717,0.22935256793272285,-0.4561719850844667,0.4564829886775094,-0.5553850181204082,0.5139384937274981,0.0
199503,0.6219618887444918,12.0,-11.23855535715268,0.1536376484067991,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0105341936438708e-69,-2.6840922913936215e-17,-5.224598424292292e-18,0.052965082787492145,0.2600341724355433,1.0,10.0,8.0,0.0,0.4960806267750907,0.7374393096362674,0.0,1.198780426038187,0.0,1.4901508777655147e-08,2.9174801305609035e-10,0.0,0.0,0.0,0.0,2.0,0.8175148420342206,5.0,0.0,-0.1972450450736267,0.24932193325052102,-0.4022359302852563,0.31755643991736365,-0.5408223150785859,0.40869803447189407,0.0
199504,0.5863854355909672,12.0,-11.39923071113392,0.3422944267941905,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0602327864160847e-66,-1.1317810506292314e-17,-8.651716192407908e-18,-0.2312495940918491,0.14308223007957127,1.0,9.0,7.0,0.0,1.1348134062348194,1.068396664110189,0.0,0.5519297504313329,0.0,1.4901676920335452e-08,2.950835807529318e-10,0.0,0.0,0.0,0.0,2.0,0.8174170193684825,5.0,0.0,-0.17967808490383186,0.29537139719934075,-0.43627954121223256,0.43543594703045657,-0.529198588919427,0.363883691188462,0.0
199505,0.587339238546579,12.0,-11.299796542503419,0.278909864722509,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.149850330400727e-66,2.523387238407261e-18,-8.031065528198555e-18,-0.17726990881886906,0.10087333391610528,1.0,8.0,6.0,0.0,0.8264223368981942,1.0501179909889482,0.0,0.48092210884963044,0.0,1.4901425583133227e-08,2.948543915489803e-10,0.0,0.0,0.0,0.0,2.0,0.809768869489118,6.0,0.0,-0.19661020335395113,0.29099018191064313,-0.45380743858073724,0.4758292449098427,-0.5510208512398483,0.45449236710040586,0.0
199506,0.5542368499696636,12.0,-11.068438896948077,0.2848838308571212,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.2273478908877075e-66,-3.3278387775910353e-17,1.1415076032897974e-17,-0.14503839752397868,0.09085579637401481,1.0,7.0,5.0,0.0,0.9626819215681247,1.2179732465368867,0.0,0.15126029109225517,0.0,1.4901441042626927e-08,2.9460796855064244e-10,0.0,0.0,0.0,0.0,2.0,0.7779310288888006,6.0,0.0,-0.21237600829660053,0.3273816290164001,-0.4721320983814862,0.43429178846701294,-0.5720053718291525,0.5060342107372253,0.0
199507,0.5483999622352115,12.0,-12.304659138366414,0.17218940256193807,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.9394356260971274e-67,-2.7047642087212213e-16,1.0190634818944418e-17,0.20752458048646413,0.6370746737409609,1.0,6.0,4.0,0.0,0.6565726384518105,0.9146268721647545,0.0,0.5831815406600093,0.0,1.4901312142944472e-08,2.931893125636267e-10,0.0,0.0,0.0,0.0,2.0,0.7807723039476251,6.0,0.0,-0.2718542453451559,0.2863868567678376,-0.45672559498366433,0.4035413067101007,-0.5815467275981202,0.5492904197685231,0.0
199508,0.5704919242508631,12.0,-11.887643767741851,0.1289497826605393,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.115913827427939e-67,-2.3344047086209985e-16,-1.8885076785563933e-17,0.16565535151640015,0.3566213031501783,1.0,5.0,3.0,0.0,0.6238123276778949,1.2140191879230304,0.0,0.328371234288479,0.0,1.4901537457468507e-08,2.9276695107554286e-10,0.0,0.0,0.0,0.0,2.0,0.7934123938572795,5.0,0.0,-0.219404950695948,0.21462066326642792,-0.5052098793434205,0.43703185123841853,-0.6459429940203619,0.7057062614981297,0.0
